complex_id	complex_name	protein_id
1	BCL6-HDAC4 complex	P41182
1	BCL6-HDAC4 complex	P56524
10	13S condensin complex	Q15021
10	13S condensin complex	Q9BPX3
10	13S condensin complex	Q15003
10	13S condensin complex	O95347
10	13S condensin complex	Q9NTJ3
100	hNURF complex	Q12830
100	hNURF complex	Q09028
100	hNURF complex	Q16576
100	hNURF complex	P28370
1000	TorsinA-TorsinB complex	O14656
1000	TorsinA-TorsinB complex	O14657
1003	RC complex (Replication competent complex)	P20248
1003	RC complex (Replication competent complex)	P24941
1003	RC complex (Replication competent complex)	P09884
1003	RC complex (Replication competent complex)	Q14181
1003	RC complex (Replication competent complex)	P35251
1003	RC complex (Replication competent complex)	P35250
1003	RC complex (Replication competent complex)	P40938
1003	RC complex (Replication competent complex)	P35249
1003	RC complex (Replication competent complex)	P40937
1004	RC complex during S-phase of cell cycle	P20248
1004	RC complex during S-phase of cell cycle	P24941
1004	RC complex during S-phase of cell cycle	P18858
1004	RC complex during S-phase of cell cycle	P09874
1004	RC complex during S-phase of cell cycle	P09884
1004	RC complex during S-phase of cell cycle	P28340
1004	RC complex during S-phase of cell cycle	Q07864
1004	RC complex during S-phase of cell cycle	P35251
1004	RC complex during S-phase of cell cycle	P35250
1004	RC complex during S-phase of cell cycle	P27694
1004	RC complex during S-phase of cell cycle	P15927
1004	RC complex during S-phase of cell cycle	P35244
1004	RC complex during S-phase of cell cycle	P11387
1005	RC complex during G2/M-phase of cell cycle	P20248
1005	RC complex during G2/M-phase of cell cycle	P14635
1005	RC complex during G2/M-phase of cell cycle	P06493
1005	RC complex during G2/M-phase of cell cycle	P09874
1005	RC complex during G2/M-phase of cell cycle	P09884
1005	RC complex during G2/M-phase of cell cycle	P28340
1005	RC complex during G2/M-phase of cell cycle	Q07864
1005	RC complex during G2/M-phase of cell cycle	P35251
1005	RC complex during G2/M-phase of cell cycle	P35250
1005	RC complex during G2/M-phase of cell cycle	P27694
1005	RC complex during G2/M-phase of cell cycle	P15927
