complex_id	apexes (fully_observed)	apexes (partially_observed)
635	"18,20"	
5615		"7,52"
1169	"12,21"	
730	11	
731	11	
797		
801		
805	18	
820		
915		
59		"18,35"
652		"19,35"
178	8	55
2920	8	61
5193		20
5230		19
5465		30
193		"13,19,33,42,48,51"
32		"13,19,37,48"
1254	10	
1256	8	
1990		
1191		
2603		"10,23"
2860	40	
2861	40	
155	8	
3009	8	
3010	8	
445		7
455		7
456		7
459		7
462		7
463	8	
469	8	
470		7
484	8	
485	8	
492		8
493		8
497		
508	8	
509	8	
513		7
514	8	
5386		"8,37"
1097		"22,37,50"
742		"22,37,50"
2297	35	
2513		
1257		"19,27,56"
283		"8,19,26,56"
54		"8,19,26,56"
5614		"8,14"
691		"8,19,26,56"
732		"8,19,26,56"
738		"8,19,26,56"
739		"8,15,19,26,56"
743		"8,19,26,56"
760	22	
761	22	
351		"8,27,34,57"
4200		
1185		
89	"10,21"	
2914	9	
1728		
3055		"8,14,45,50"
1332		"8,13,45,54,63"
5232		"8,30"
2348		
2437		11
5196		9
1085		38
1086		38
1230		"7,15"
1237	15	7
1251-1	15	7
1251-2	15	7
1252	15	7
189-1	15	7
189-3	15	7
189-5	15	7
189-7	15	7
238-1	15	7
3063		"6,15"
555	"7,15"	
564-1	15	7
564-2	15	7
564-3	15	7
564-4	"7,15"	
564-5	"7,15"	
564-6	"7,15"	
566-1	"7,15"	
566-2	"7,15"	
566-3	"7,15"	
570		"7,15"
571		
710-1		"7,15"
710-2		"7,15"
710-3		"7,15"
711-1		"7,15"
711-2		"7,15"
711-3		"7,15"
713		"7,15,19,26,56"
714		"7,15,19,26,56"
778		"7,15,19,26,56"
803		"7,15"
806		"7,15"
807		"7,15"
808		"7,15"
86		"7,15,42"
2307		
2308	"19,35"	
1000	59	
875	"11,21"	
877	"11,19"	
1399	8	
1400	8	
1401	8	
3075	8	
1248		
5816		
1231	10	
1748		
2764		
2838	33	
810		"10,33"
811		
819		"33,40"
825		33
832		"6,33"
834		"25,33,40,53"
836		33
837	33	
681	52	
682	52	
683	52	
687		
2171		
2714		
127	26	
3104	11	
4062		
5646	11	
5647		
5648		
5649		
5658		
5689	11	
5696		
5698		
5701		
5731		
5734		
5745	11	
5746	11	
1552		
181	"12,19,26"	"32,42,45,50"
191	"12,19,26,42"	45
192		"12,19,26,42,48"
194		"12,19,26,42,58"
3262	"12,20"	
1142	6	"26,15,40,53,67"
1143	6	"26,15,40,53,67"
1745		"6,15,26,40,53,67"
1746		"6,15,26,40,53,63"
1749		"7,15"
1751		6
1752	7	
3118	7	"15,26,40,53"
3284	7	
3298	7	
824	7	
2486		
2487		
2055		20
2056		20
2100	21	
2101	21	
2104		
2105		"20,32"
2118		20
2121	21	
2727		21
5194		"20,31"
5233		"19,53"
5234		37
5266		"7,15,37"
5828	21	
5844	21	
1149		"19,26,34,42,51"
1150		"19,26,34,42,51"
3207	34	
3208		
617	"34,48"	
3677	31	
706		
815		
817		
1045		"12,22"
1116		
1117		
1176		"12,22"
2755		"27,40,53"
2721-1		"11,26,44,52,56"
2721-2		"11,26,44,52,56"
2731	8	63
2124		
5220		19
5285		
5286		37
5829		20
561	55	12
1695	"12,20"	
27	47	
112	50	56
33	50	56
2318		"7,14,26"
2319		13
2322		
2863	11	
177		
943		"12,20"
103		"10,29,45,47,60"
104	29	"10,37,60"
2685		"10,29,35,60"
2686		"10,29,35,60"
2825		"10,29,45,47,60"
430	14	"7,19,26,40,53"
2904	"8,20"	54
2905	"8,20"	54
2906	8	
2948	9	"36,56"
705		"9,26"
1181		"7,14,26,28,45,57"
994	"11,19"	
1520		
5268	"12,37,51"	
748		36
3040	"6,12,19"	
1223		"7,47"
3082		"7,13,45"
5317		
1196	45	
251		
252	45	
253	45	
256		
258		
259	45	
260		
261	45	
68		
2510		
2511		
486		"8,21"
605		
1186		"55,59"
1182		"8,11,26"
1183		"8,11,15,18,40,53"
2919	8	"19,66"
2903	8	"19,53"
1851		
190		"37,60"
5655		
725		"11,26,48,53"
1090-1		
1090-2		
144		38
36		38
5165		
1141		"7,35,53,59"
1767		"9,29,36,62"
1768		"9,29,36,51,62"
1769		36
1031		"11,42"
1033		"11,42"
1034		"11,42"
1038		"11,42"
2205		
389		"11,42"
1032		"11,42"
5251		"15,41,43"
5213	9	
163	23	"12,29"
164	23	"12,29"
165	23	"12,29"
166	23	"12,29"
1856		"12,23,29"
282		"12,19,23,29,56"
5432		"12,23,29"
63	23	"12,29"
64	23	"12,29"
217	12	8
218	12	8
228	12	8
229	12	8
230	12	8
232	12	8
2600		"11,23"
284	12	8
287	12	"8,26"
288	12	"8,26"
300	12	8
301	12	8
441	12	8
535	12	8
5450	12	8
547	12	8
548	12	8
549	12	8
66	12	8
898	12	8
900	12	8
909	12	"8,26"
910	12	8
115		
116		
1458		
234		54
236		
49		"11,19,68"
5694		
921		
925		
929		"11,26,46,53"
94		
1492	"12,19"	"26,37"
2160		
614	"19,25"	"11,55"
620	"12,19,25"	54
624	"11,19,25"	
626		11
632-1		"6,11,19,26,32,56"
632-2		"6,11,19,26,32,56"
633		"11,19,26,54"
634		"11,19,26,54"
636	"12,19,26"	54
642		"11,19,26,47,54"
643		"11,19,26,47,54"
646		"12,19,26,56"
648	"12,19,26"	
871	"12,19,26"	54
1307		7
5385		
1079	"12,23"	
1082	"12,23"	
2599		"25,43"
2601	26	12
2602	"12,23"	
2604		"12,23"
2605	"12,23"	
2639		"12,23"
2873	"11,23"	
2875	24	12
2877	24	12
2878	"12,23"	
5280	"12,22"	
2196		
2197		
2198		
267		
268	51	"8,12"
271		
274	51	"8,12"
275		
276		
2808	58	
2809		
1059		"22,44"
1060		"22,44"
1070	21	
1072		
1091	21	
1093		21
1095	21	
1096	21	
1104	21	
657		"22,44"
5244		
315		"8,11,21"
320		"8,11,21,59"
997		
2203		"7,50"
1081	"6,18"	
1189		"6,15,19,43"
173	"6,18"	
202	"6,18"	
2217		"6,18,26"
2218	6	18
2723		
2767	"6,18"	
2815		"6,18"
331	"6,18"	
433		"6,12,18,26,41,51"
5197		"6,19"
618	"6,18"	
619		"6,18"
627	7	19
71	"6,18"	
73	"6,18"	
964	"6,18"	
972	"6,18"	
2300		34
1130		
1165	"11,19,29"	
2183	9	
2884	"9,20"	
2898	"9,20"	
2901		
1225		
551-1		
1413		"15,28"
15	10	
1505	9	"19,26,54"
3044	9	"19,26"
3204		
3205		
3206		
741	10	
1984		
5215		
324	20	10
631	10	
656	44	
2851	6	"19,26,54"
591	6	"19,26,54"
592	6	"19,26,54"
596	6	"19,26,54"
695	6	"19,26,54"
696	6	"19,26,54"
698	6	"19,26,54"
2938	"10,20"	
2942	9	
2210		
105		"19,26,32,46"
1177		"32,39"
5502		32
5521	32	
974		32
995		"19,26,32,46"
996		"19,26,32,46"
1989		
5609		"11,19,26"
5613		"12,45,52"
1737		"7,14,20,48"
1335		"6,12,27,45"
1348		
123	35	7
4389	22	"36,51"
4392	22	"36,51"
4395	"22,36"	51
4403		"22,36,51"
4399		"22,36"
404		
3678		
1083		
563	11	20
848		25
3991		
3992		
781		"13,22,37,50,56"
1495	"19,26"	26
41	"19,26"	
61	"19,26"	55
62	26	"9,19,55"
649-1		"9,19,26,55"
649-2		"9,19,26,55"
650-1	"19,26"	"9,55"
650-2	"9,19,26"	55
659	26	"9,19,55"
685	26	"9,19,55"
888-1	9	"19,26,55"
888-2	"9,19,26"	55
247-2		22
310		50
5542		
1380	31	
2716	31	
1464		
1352		
2847		
2848		
2858		
2859		
23	20	33
654		"20,33"
10	"11,20"	69
157	"11,20"	69
159		"11,20"
160	"8,11"	"20,69"
167	"11,20"	69
353		"11,20,69"
5239	"11,20,69"	
5373	21	
822		"7,46"
3034	"41,45,57"	
3714	8	13
2857		"8,13,22,37,56"
304		"8,13,22,37,56"
528		"8,13,22,37,56"
529		"8,13,22,37,56"
798		"8,13,22,37,56"
1784		
873		
1121		
562	56	12
247-1		23
2717		
6052		36
5843		
585	"19,26"	8
587	"19,26"	"8,56"
886	"8,19,26"	56
2052		
2053		
2054		
2745		
2752		
2753		
428		
3092	"11,20"	
2236		
1166-1		"8,13,22,37,56"
1170		"8,13,22,37,56"
1171		"8,13,22,37,56"
1173	"8,13"	"22,37,56"
1175	8	
1238		"8,14,23"
1239	14	"8,23"
149-1		"8,14,23"
149-3		"8,14,23"
189-2	14	"8,23"
189-6	14	"8,23"
238-2	14	"8,23"
2852	"7,14"	
2856		"8,13,22,37,56"
302		"8,13,22,37,56"
3065-1	"7,14"	
3065-2	"7,14"	
3065-3	"7,14"	
525		"8,13,22,37,56"
554		"8,14,23"
556		"8,14,23"
565-1		"8,14,23"
565-2		"8,14,23"
565-3		"8,14,23"
787		"8,13,22,37,56"
799		"8,13,22,37,56"
2936		12
2939		"8,12"
2369		12
2453		
2454		
2542		
5171		
6036		
5388		
5391		
5389		
2710		
2709		
2342		
3026		
3027		
3042		
3059		
5608		"7,11,22"
5611		"7,12,21,26,37,45"
2351		
2375		
2376		
2383		"11,21"
2850	11	21
1539		
5211		"07,12,48"
5873		12
5877		12
5919-1		
5919-2		
5919-3		
5919-4		
5919-5		10
5919-6		10
5919-7		12
5920-1		
5920-2		
5922-1		
5922-2		
5922-3		
5923		
5924		
5928		
4216		
280		"53,59"
2179		"37,47"
2224	6	"12,23,41,64"
2670		
2678		
2679		
2681		
2821		
2842		
2844		
3170		
3172		
5288		
5331		
577		
98		
1199	"11,20"	
1200	"11,20"	
143	11	
2711		
3093		
2355		
2356		
2358		
2359		
2362		"12,20"
2363		"11,20"
2364		
2365		
2366		
2370		
2373		
2374	12	
2377		
2378		
2379		
2381		
2382		
2816		
2826		
2846		
2849		
2872-1		
2872-2		
2882		
2896		
3103		12
3115		
2153		
5183		"7,15,26,43"
306-1		"7,15,19,44,53"
306-2		"7,15,19,44,53"
308		"7,15,19,44"
5380	7	"19,43"
2384	"11,20"	
2385	"11,20"	
2390-1	"11,20"	
2390-2	"11,20"	
2395	"11,20,41"	
2396	"11,20"	
2397		
2398		"11,20"
2399		"11,20"
2400		
2401		
2406		
2411	"11,20"	
2413	"11,20"	
2416	20	
2417		11
2418	11	
2419	11	20
2420	11	
2421	11	
2422	11	
2423	11	
2424	11	
2426	11	
2428	11	
2429	"11,20"	
2430	"11,20"	
2431		"11,20"
2432	"11,20"	
2434		11
2435	11	
2436	"11,20"	
2439		
2440	"11,20"	
2442		
2443		
2444		
2445		
2446		
2447		
2853	"11,20"	
2885	"11,20"	
2971		
2972		
2989		
3035		
3057		
3058		
3111		
3112	"11,20"	
2577		
1067		
2559		
2565		
2879		
2944		
2955		
756	52	
1250		
1372		
1488		
3269		15
3853		
5099		
5143		
5146		
5656		
5663		
722		
723		
1005		"7,47,57"
243		50
5543	50	
5544	50	
5545	50	
5546	50	
5550	50	
5551	50	
5557		
5559		
5643		
5253-1	26	
5253-2		
362		38
1226		"8,46"
1227		"8,14"
1729		"8,38"
220		
3135		"8,38"
5154		
2343		
2345		
2346		"11,20"
2347		
2350		
2352		
2353		
2354		
3110		
3117		
472	36	
474		
2837		
3159		
2112	37	
4158-1		"12,37"
5199		"36,53"
5212		37
5269		"37,50"
5622		
5716		
5718		
924		"8,15,49"
2220	46	
368	46	
531	46	
432		
5423-1		
3032		
4158-2		"12,37"
5849		
5980		37
2456		
2541		
1261		"8,18"
305-1		"8,15,53"
305-2		"8,15,53"
338		"8,15,53"
1148		"48,64"
2719		"26,37"
1004		"8,47,57"
1193		"8,15,19,45"
2625		
3137-1		56
3137-2		56
3137-3		56
3142		56
5179		"14,44,56"
5235		"14,44,56"
1003		"8,12,33,50"
1098-1		"33,39"
1098-2		"33,39"
1099-1		"33,39"
1099-2		"33,39"
1100	33	
1107		"33,39"
1108		"33,39"
1111-1		"33,39"
1111-2		"33,39"
2728		
1379	53	31
1178		
1308		"8,25,63"
2129		46
6037		
1106		7
1760		"37,55,63"
1633		
1642	60	
3084		
3085		
3086		
312		
5100		
5101		
5107		
5287		
1039		
1092		"15,43"
1160		
1163		
2201		51
2231		
2797		51
285		
286		"12,41"
289		"12,41"
290		
297		39
311		
313		
314		
376		41
377		41
424		
860		
4025		
5177		"12,44,52"
1826		
1834		
521	"10,20"	
522	10	20
5281	"10,20"	
5319		
5320		
2073		
2470		
2471	56	
5282		
5713		
1220		"15,44"
1571		
2766		"6,15,19,44"
2918		"15,44"
3102		"8,15,44"
322		"15,44"
328	"15,44"	
355		"15,44"
356		"15,44"
357		"15,44"
3618	15	
4081	"15,44"	
4082		"15,44"
5176		"15,44"
5182		"15,44"
5231		"15,44,47,56"
95	45	15
1810		10
4869		
517	49	
520-1	6	60
520-3		"6,60"
520-5	6	60
520-7	"6,60"	27
520-9		"6,27,60"
520-11	6	"27,60"
520-13	6	60
520-15		"6,60"
520-17	6	
153	"39,45"	
5872		
5921-1		
5921-2		
5925		
784-1	46	
809-1	46	
2529		"8,43"
2574		
2961		
758	53	
771	48	
2222		"6,39,48,57"
244		"6,39,48,57"
248		"6,39,48,57"
2738		"6,39,48,57"
5229	"6,39,48"	57
2320		"11,20"
2321		
2323		
2770		"11,20"
3096		63
2266	47	
2536		
2537		
2909		
2910		
2912		
2913		
518-1		
520-2	6	60
520-8	6	"27,60"
520-14	6	
621-1		
879-1		
443		
5273		
126	31	53
1009	47	
1029	47	
1030	47	
1036	47	
107	47	
2660	47	
5495	47	
2005		
2598	"11,32"	
281	"11,32"	
212	37	
213	37	
363	37	
365	37	
5243	37	54
2547		
2551		
2922		
2956		
2960		
3078		
92		
2812	"11,37"	28
2720	"26,36"	
5223	"26,36"	
5224	"26,36"	
938		"26,36,41"
5198		
2084		"31,35"
2086		"31,35"
3045		35
5460	35	
5461	35	
5464	35	
5492	35	
575		
2572		
2573		27
375	44	
378	44	
2564		
2578		
2581-1		
2581-2		
5862		
1972		
2242		37
2243		
999		
2480		44
2534		
2535		55
2563		
3175		
5709		
5720		
5721		
5724		
518-2		37
520-4		"6,60"
520-10		"6,27,60"
520-16		6
621-2		
879-2		
330	"43,55,64"	
335		"43,55,64"
3008-1		
3008-3		
3008-5		
5564		
2255		
1155		"11,29,45"
2213		
2638		
3060-1		14
3060-2		14
3061		
3062		
3064-1		"7,15,46"
3064-2		"7,15,46"
3064-3		"7,15,46"
3064-4		"7,15,46"
3064-5		"7,15,46"
3064-6		"7,15,46"
3066		"7,15"
5363		45
5736		
728-1		"33,37,47"
728-2		"33,37,47"
1656		
3015	45	50
5556		
5560		
906		
387	"26,36"	48
4478	"37,44"	
4498		"37,44"
5473		60
5799		60
5800		60
5859		60
5860		60
5861		
2946		
2947		
3046		
5209		"13,19,32,42"
559	"6,28"	48
1470		
1490		
1491		
5117		
5695		
862		
1288		"6,53"
5189		
55		
2739		
298-1		
298-2		
298-3		
5217		
3133		
5226		
57		
5371	60	
5367		
152	47	
5190		12
2528		
2895		
1055		
1827		
117-1	"13,20"	
117-2	"13,20"	
117-3	"13,20"	
117-4	"13,20"	
557	18	9
1131	"7,49"	
1132	"7,49"	
1543		
1544		
5876	47	
5361	"10,21"	
93	"10,21"	
96	"10,21"	
5372		
519		"10,22"
520-6	6	
520-12	6	
520-18	6	
2156		
2159		
3847		
3138		
3848		
1287	"6,13,58"	
1297		
1298		
5401		
1146	31	
