complex_id	apexes (fully_observed)	apexes (partially_observed)
635	20	
5615		
1169	"17,21"	
730	18	
731	18	
797	18	
801	18	
805	18	
820	18	
915	18	
59		"20,35"
652		"20,35"
178	8	"20,55"
2920	8	"20,55"
5193		
5230		
5465		35
193		"14,20,27,33,44"
32		"12,20,27,33,44,62"
1254		7
1256		7
1990		
1191		
2603		"25,10"
2860	40	
2861	40	
155	8	
3009	8	
3010	8	
445		7
455		7
456		7
459		7
462		7
463		7
469		7
470		7
484		7
485		7
492		7
493		7
497		
508		7
509		7
513		7
514		7
5386		6
1097		"22,37"
742		"22,37"
2297	35	
2513		
1257		
283		"10,20,25,55"
54		"10,20,25,55"
5614		
691		"10,20,25,55"
732		"10,20,25,55"
738		"10,20,25,55"
739		"10,15,20,25,55"
743		"10,15,20,25,55"
760		
761		
351		16
4200		
1185		
89		"8,20"
2914		"10,20"
1728		
3055		"7,17"
1332		"6,16,45"
5232		
2348		
2437		10
5196		10
1085		
1086		
1230	5	15
1237	5	15
1251-1	5	15
1251-2	5	15
1252	5	15
189-1	5	15
189-3	5	15
189-5	5	15
189-7	5	15
238-1	5	15
3063	5	15
555	5	15
564-1	5	15
564-2	5	15
564-3	5	15
564-4	5	15
564-5	"5,15"	
564-6	"5,15"	
566-1	"5,15"	
566-2	"5,15"	
566-3	"5,15"	
570		"5,15"
571		"5,15"
710-1	"5,15"	
710-2	"5,15"	
710-3	"5,15"	
711-1	"5,15"	
711-2	"5,15"	
711-3	"5,15"	
713	"5,15,20"	
714	"5,15,20"	
778		"5,15,20,25"
803	15	"5,19"
806	15	"5,19"
807	15	"5,19"
808	15	"5,19"
86		"5,15,25"
2307		
2308	"18,27"	
1000	60	
875	"12,20"	
877	"12,18"	
1399	8	
1400	8	
1401	8	
3075	8	
1248		
5816		
1231		
1748		
2764		
2838	35	
810		30
811		30
819		"30,40"
825	25	
832	5	
834		"5,15,25,50,45"
836	33	
837	33	
681	55	
682	55	
683	55	
687		
2171		
2714		
127	25	
3104	10	
4062		
5646	12	
5647		
5648		
5649		
5658		
5689	12	
5696		
5698		
5701		
5731		
5734		
5745	12	
5746	12	
1552		
181	"15,20,25,32"	"42,45"
191	"15,20,25,32"	"42,45"
192		"15,20,25,32,42,45"
194	"15,20,42"	45
3262	"13,20"	
1142	6	"20,40,55"
1143	6	"20,40,55"
1745		"6,20,50,55"
1746		"6,20,50,55"
1749		6
1751		6
1752		6
3118		"6,25,40,55"
3284	7	
3298	7	
824	7	
2486		
2487		
2055		
2056		22
2100	20	
2101	20	
2104		
2105		21
2118		22
2121	22	
2727		20
5194		21
5233		
5234		
5266		6
5828	22	
5844	22	
1149		
1150		
3207	25	
3208		
617	"35,48"	
3677	30	
706		
815		
817		
1045		12
1116		
1117		
1176		
2755		15
2721-1		
2721-2		
2731	8	
2124		
5220		
5285		
5286		
5829	20	
561	55	
1695	"10,20,55"	
27	45	
112	50	
33	50	
2318		10
2319		
2322		
2863	"10,22"	
177		
943		
103		28
104		28
2685		28
2686		28
2825		28
430		"15,20,40"
2904	8	20
2905	8	20
2906	8	22
2948	8	20
705	8	25
1181		"6,15,26"
994	"10,20,25"	
1520		
5268		
748	38	
3040	"5,10,20,26"	50
1223		
3082		"5,15,60"
5317		
1196	55	
251		
252	55	
253	55	
256		
258		
259	55	
260		
261	55	
68		
2510		
2511		
486		
605		
1186		60
1182		10
1183		"5,15"
2919	10	25
2903	10	"23,55"
1851		
190		
5655		
725		
1090-1		
1090-2		
144		38
36		38
5165		
1141		45
1767		50
1768		50
1769		50
1031		"10,25,45 "
1033		"10,25,45 "
1034		"10,25,45 "
1038		"10,25,45 "
2205		
389		"10,25,45 "
1032		"10,25,45 "
5251		45
5213	10	
163	25	"12,31"
164	25	"12,31"
165	25	"12,31"
166	25	"12,31"
1856		"12,25,30"
282		"12,25,30"
5432		"12,25,30"
63	25	"12,30"
64	25	"12,30"
217	12	7
218	12	7
228	12	7
229	12	
230	12	20
232		12
2600		12
284	12	
287	12	
288	12	
300	12	
301		12
441	12	
535		"5,12,18"
5450	13	"5,20"
547		"5,15,17"
548		"5,15,17"
549		"5,15,17"
66		"5,15,17"
898	15	8
900	15	8
909	15	"8,17"
910	17	"7,18"
115		
116		
1458		
234		
236		
49		"8,20,28"
5694		
921		
925		
929		
94		
1492	"12,20"	26
2160		
614	"12,29,25,36"	
