complex_id	complex_name	protein_id
DECOY_1	DECOY_BCL6-HDAC4 complex	Q9UHV9
DECOY_1	DECOY_BCL6-HDAC4 complex	P49336
DECOY_10	DECOY_13S condensin complex	P61313
DECOY_10	DECOY_13S condensin complex	O15360
DECOY_10	DECOY_13S condensin complex	P23763
DECOY_10	DECOY_13S condensin complex	P49795
DECOY_10	DECOY_13S condensin complex	Q02952
DECOY_100	DECOY_hNURF complex	Q92925
DECOY_100	DECOY_hNURF complex	Q09028
DECOY_100	DECOY_hNURF complex	P05387
DECOY_100	DECOY_hNURF complex	P28340
DECOY_1000	DECOY_TorsinA-TorsinB complex	Q13330
DECOY_1000	DECOY_TorsinA-TorsinB complex	O43719
DECOY_1003	DECOY_RC complex (Replication competent complex)	P62140
DECOY_1003	DECOY_RC complex (Replication competent complex)	P62318
DECOY_1003	DECOY_RC complex (Replication competent complex)	O43181
DECOY_1003	DECOY_RC complex (Replication competent complex)	P13010
DECOY_1003	DECOY_RC complex (Replication competent complex)	P46100
DECOY_1003	DECOY_RC complex (Replication competent complex)	Q9BUN8
DECOY_1003	DECOY_RC complex (Replication competent complex)	Q00597
DECOY_1003	DECOY_RC complex (Replication competent complex)	Q9H0E3
DECOY_1003	DECOY_RC complex (Replication competent complex)	Q16576
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	Q92841
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P11387
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P05556
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	Q9Y230
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P49643
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P06239
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P62877
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	O14786
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P50914
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	P38936
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	O15360
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	Q16576
DECOY_1004	DECOY_RC complex during S-phase of cell cycle	Q6P1L8
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	P35250
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q9UP83
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	O43809
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q9Y2X0
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	P09884
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	O75306
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	P30153
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q9UQN3
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q96ST3
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q13616
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q15545
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	P61244
DECOY_1005	DECOY_RC complex during G2/M-phase of cell cycle	Q15291
DECOY_1007	DECOY_CAK core complex (Cdk-activating kinase core complex)	O14786
DECOY_1007	DECOY_CAK core complex (Cdk-activating kinase core complex)	Q13503
DECOY_1008	DECOY_CAK complex (Cdk-activating kinase complex)	O75446
DECOY_1008	DECOY_CAK complex (Cdk-activating kinase complex)	O43463
DECOY_1008	DECOY_CAK complex (Cdk-activating kinase complex)	Q8TEY7
DECOY_1009	DECOY_TFIIH transcription factor complex	Q96LT9
DECOY_1009	DECOY_TFIIH transcription factor complex	O75529
DECOY_1009	DECOY_TFIIH transcription factor complex	Q8TAQ2
DECOY_1009	DECOY_TFIIH transcription factor complex	Q13797
DECOY_1009	DECOY_TFIIH transcription factor complex	Q05586
DECOY_1009	DECOY_TFIIH transcription factor complex	P01588
DECOY_1009	DECOY_TFIIH transcription factor complex	Q92572
DECOY_1009	DECOY_TFIIH transcription factor complex	Q12996
DECOY_1009	DECOY_TFIIH transcription factor complex	P20226
DECOY_1009	DECOY_TFIIH transcription factor complex	P10451
DECOY_1010	DECOY_CAK complex (Cdk-activating kinase complex)	Q13616
DECOY_1010	DECOY_CAK complex (Cdk-activating kinase complex)	O14920
DECOY_1010	DECOY_CAK complex (Cdk-activating kinase complex)	P60900
DECOY_1028	DECOY_HNF4A-SUB1 complex	Q13426
